frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
74,49,[410.67 257.00 447.67 305.33],,,,
75,29,[341.80 311.60 418.80 402.40],,,,
75,35,[184.25 256.75 276.75 328.50],,,,
75,47,[319.75 258.75 373.50 309.00],,,,
75,49,[410.67 257.00 447.67 305.33],,,,
76,29,[330.20 312.00 410.00 405.80],,,,
76,35,[179.67 256.00 270.33 328.00],,,,
76,47,[316.00 257.00 370.00 308.67],,,,
76,49,[410.67 257.00 447.67 305.33],,,,
77,29,[318.20 313.40 400.80 410.00],,,,
78,29,[305.40 315.80 391.00 415.20],,,,
79,29,[292.00 318.60 381.00 420.80],,,,
79,51,[124.33 259.00 252.67 335.67],,,,
80,29,[277.80 323.20 370.20 427.40],,,,
80,52,[20.33 274.67 66.67 337.67],,,,
81,29,[262.00 327.60 358.40 433.80],,,,
81,44,[428.50 212.00 561.00 365.00],,,,
82,29,[244.80 331.20 346.20 440.20],,,,
82,44,[414.00 208.67 554.00 369.00],,,,
83,29,[227.20 333.80 333.80 446.60],,,,
83,51,[115.50 259.25 245.75 337.25],,,,
84,29,[207.60 337.80 319.80 454.40],,,,
84,51,[107.20 259.60 239.00 338.80],,,,
85,29,[187.20 341.20 305.60 462.60],,,,
85,51,[89.80 260.20 224.20 342.20],,,,
86,29,[166.80 343.40 291.60 470.80],,,,
86,51,[75.80 261.20 213.20 345.00],,,,
86,53,[682.00 272.00 835.33 414.00],,,,
87,29,[145.80 344.40 277.40 479.00],,,,
87,51,[62.60 262.20 201.20 347.60],,,,
87,53,[682.75 273.00 835.25 415.00],,,,
88,29,[123.00 346.40 262.20 488.20],,,,
88,51,[49.80 263.00 188.20 350.00],,,,
88,53,[683.00 273.60 835.00 415.60],,,,
89,29,[99.60 345.40 247.20 496.40],,,,
89,51,[37.40 263.20 173.20 351.40],,,,
89,53,[683.40 274.40 834.20 416.40],,,,
90,29,[74.80 345.40 231.40 505.40],,,,
90,51,[25.00 263.00 155.80 352.00],,,,
90,52,[20.33 274.67 66.67 337.67],,,,
