frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
45,39,"[316, 292, 354, 332]",,,,
45,38,"[505, 298, 544, 353]",,,,
45,34,"[393, 269, 460, 311]",,,,
45,31,"[252, 288, 294, 326]",,,,
45,22,"[647, 276, 697, 319]",,,,
45,10,"[691, 267, 810, 377]",,,,
45,3,"[691, 267, 810, 377]",,,,
45,2,"[551, 324, 650, 471]",,,,
46,39,"[312, 288, 354, 331]",,,,
46,38,"[503, 295, 544, 353]",,,,
46,34,"[385, 267, 455, 311]",,,,
46,31,"[247, 288, 289, 326]",,,,
46,22,"[648, 276, 698, 320]",,,,
46,10,"[693, 267, 812, 377]",,,,
46,2,"[553, 324, 651, 470]",,,,
47,39,"[308, 289, 349, 333]",,,,
47,38,"[501, 294, 543, 353]",,,,
47,34,"[376, 267, 449, 312]",,,,
47,31,"[241, 289, 285, 327]",,,,
47,22,"[647, 276, 698, 320]",,,,
47,10,"[694, 267, 813, 377]",,,,
47,2,"[553, 324, 652, 470]","[558.2428722381592, 404.4868698120117, 591.5616455078125, 431.9520721435547]",0.6792131662368774,IH,0.6525428891181946
48,38,"[497, 290, 542, 352]",,,,
48,34,"[369, 266, 444, 313]",,,,
48,32,"[459, 267, 501, 303]",,,,
48,31,"[234, 290, 280, 329]",,,,
48,22,"[646, 276, 696, 320]",,,,
48,10,"[694, 267, 814, 377]",,,,
48,2,"[554, 324, 652, 470]",,,,
49,40,"[1034, 636, 1218, 719]",,,,
49,38,"[493, 294, 537, 356]",,,,
49,34,"[360, 266, 437, 313]",,,,
49,32,"[454, 267, 495, 304]",,,,
49,31,"[226, 289, 273, 329]",,,,
49,22,"[643, 276, 693, 321]",,,,
49,10,"[694, 267, 814, 377]","[738.3125877380371, 325.4874725341797, 775.5142288208008, 338.41736602783203]",0.7390788793563843,CA51REN00,0.5501575469970703
49,2,"[552, 321, 652, 468]",,,,
50,38,"[489, 299, 532, 358]",,,,
50,34,"[353, 266, 430, 314]",,,,
50,32,"[448, 267, 489, 305]",,,,
50,31,"[218, 292, 267, 331]",,,,
50,22,"[640, 276, 690, 323]",,,,
50,10,"[694, 267, 814, 378]",,,,
50,2,"[551, 321, 652, 469]",,,,
